Gene start (bp)	Gene end (bp)	Gene % GC content	Chromosome/scaffold name	Gene name	NCBI gene (formerly Entrezgene) ID
4582154	4611971	56.58	HSCHR6_MHC_MANN_CTG1	COL11A2	1302
119173517	119205143	41.88	3	UPK1B	7348
123348034	123348130	32.99	8	MIR548AA1	100500863
142176339	142176418	56.25	8	MIR4472-1	100616268
133046481	133046581	59.41	8	MIR7848	102466865
76966768	76966850	32.53	8	MIR3149	100422921
128150116	128150188	58.90	8	MIR1208	100302281
141786242	141786313	31.94	8	MIR1302-7	100302147
110497907	110511533	49.03	10	DUSP5	1847
52939182	52943734	54.89	8	NPBWR1	2831
2966356	2974472	53.53	HSCHR6_MHC_DBB_CTG1	MPIG6B	80739
38263130	38269243	45.35	8	PLPP5	84513
4224964	4229249	45.19	HSCHR6_MHC_COX_CTG1	HLA-DOB	3112
28724252	28724321	57.14	16	MIR6862-2	102465907
147741434	147743324	37.39	6		105378044
28842411	28846348	55.33	16	TUFM	7284
46917492	47103478	43.99	18	KATNAL2	83473
64034344	64039962	63.16	20	C20orf204	284739
1310529	1314698	56.26	HSCHR6_MHC_COX_CTG1	HLA-G	3135
3239415	3246691	47.26	HSCHR6_MHC_MANN_CTG1	C4B-AS1	102060414
123109494	123115477	53.98	9	MIR600HG	81571
112070663	112087529	34.63	6	TUBE1	51175
2578541	2665857	43.12	HSCHR6_MHC_MANN_CTG1	HLA-B	3106
30309801	30374448	43.36	10	MTPAP	55149
23998401	24005453	53.34	22	GSTT4	25774
1358814	1369016	47.13	HSCHR6_MHC_DBB_CTG1	TRIM31	11074
157743712	157760709	43.29	5	LSM11	134353
123109500	123268586	39.12	9	STRBP	55342
362835	397559	50.47	20	TRIB3	57761
3007552	3023908	47.33	HSCHR6_MHC_COX_CTG1	DDX39B	7919
2849515	2851897	49.10	HSCHR6_MHC_MANN_CTG1	ATP6V1G2	534
1932243	1943749	56.10	HSCHR6_MHC_DBB_CTG1	PPP1R18	170954
1927938	1936624	46.36	HSCHR6_MHC_MANN_CTG1	MRPS18B	28973
32413845	32464484	43.11	22	BPIFC	254240
4543212	4557902	50.02	HSCHR6_MHC_DBB_CTG1	TAPBP	6892
172194172	172203454	45.87	5	EFCAB9	285588
4627972	4632199	53.00	HSCHR6_MHC_MANN_CTG1	RING1	6015
117673	181676	53.82	HSCHR3_6_CTG3	MUC4	4585
2452954	2468748	51.86	HSCHR6_MHC_MANN_CTG1	CCHCR1	54535
1827203	1853009	48.02	HSCHR6_MHC_DBB_CTG1	ABCF1	23
132875395	132963634	40.42	5	AFF4	27125
3411876	3419151	47.35	HSCHR6_MHC_COX_CTG1	C4B-AS1	102060414
63538489	63547749	64.28	20	SRMS	6725
37051739	37063390	60.20	22	KCTD17	79734
3553597	3566584	51.45	HSCHR6_MHC_COX_CTG1	ATF6B	1388
65009289	65056740	40.06	17	GNA13	10672
31847637	31870664	53.86	20	DUSP15	128853
4000854	4008293	47.35	HSCHR6_MHC_DBB_CTG1	HLA-DQB2	3120
1937071	1957052	48.88	HSCHR6_MHC_MANN_CTG1	ATAT1	79969
4234034	4250979	43.88	HSCHR6_MHC_COX_CTG1	TAP2	6891
351908	352914	43.00	HSCHR6_MHC_DBB_CTG1	OR2B3	442184
28843919	28844007	65.17	16	MIR4721	100616256
101252886	101270316	43.20	2	CNOT11	55571
24114195	24125242	50.99	14	DCAF11	80344
1089780	1093938	56.41	HSCHR6_MHC_DBB_CTG1	HLA-G	3135
28904421	28936526	52.63	16	RABEP2	79874
4605095	4612358	54.14	HSCHR6_MHC_COX_CTG1	RXRB	6257
69088103	69104805	42.48	10	SRGN	5552
118565660	118576840	38.48	6		107986524
143843338	143863812	39.75	6	LTV1	84946
81976807	82017406	60.76	17	ASPSCR1	79058
3262537	3276826	58.96	HSCHR6_MHC_DBB_CTG1	C4B	721
1462667	1471655	45.76	HSCHR6_MHC_MANN_CTG1	TRIM10	10107
47460162	47484158	52.97	10	ANXA8	653145
4263439	4265848	52.24	HSCHR6_MHC_MANN_CTG1	PSMB8-AS1	100507463
3335076	3340324	52.81	HSCHR6_MHC_COX_CTG1	NEU1	4758
108822770	108855005	36.43	3	TRAT1	50852
159169400	159272108	43.39	6	FNDC1	84624
132203024	132219480	37.77	X	RAP2C	57826
751891	753027	49.78	HSCHR6_MHC_MANN_CTG1	MAS1L	116511
2810695	2816200	54.32	HSCHR6_MHC_MANN_CTG1	MICB	4277
13824149	13827323	49.10	18	MC5R	4161
2708377	2724826	50.15	HSCHR6_MHC_MANN_CTG1	MICA	100507436
75046463	75199520	40.29	2	TACR1	6869
1643004	1652494	47.10	HSCHR6_MHC_COX_CTG1	TRIM15	89870
1745299	1750037	55.45	HSCHR6_MHC_DBB_CTG1	HLA-E	3133
4088779	4097548	50.44	HSCHR6_MHC_DBB_CTG1	TAP1	6890
3447237	3449719	58.72	HSCHR6_MHC_COX_CTG1	DXO	1797
54151606	54224669	39.18	18	MBD2	8932
2577801	2581172	59.16	HSCHR6_MHC_MANN_CTG1	HLA-C	3107
4087656	4090065	52.24	HSCHR6_MHC_DBB_CTG1	PSMB8-AS1	100507463
309816	310843	41.15	HSCHR6_MHC_DBB_CTG1	OR2W1	26692
2792232	2794614	49.14	HSCHR6_MHC_DBB_CTG1	ATP6V1G2	534
38269704	38382272	38.79	8	NSD3	54904
3217271	3239933	48.40	HSCHR6_MHC_COX_CTG1	MSH5	4439
3986113	3991965	43.28	HSCHR6_MHC_DBB_CTG1	HLA-DQA2	3118
3986113	3991965	43.28	HSCHR6_MHC_DBB_CTG1	HLA-DQA2	3117
2149770	2158404	48.30	HSCHR6_MHC_MANN_CTG1	LINC02570	105375014
3483335	3485774	51.48	HSCHR6_MHC_MANN_CTG1	RNF5	6048
103773718	103792619	44.51	X	PLP1	5354
4493784	4515561	45.56	HSCHR6_MHC_DBB_CTG1	VPS52	6293
2448059	2449875	57.90	HSCHR6_MHC_MANN_CTG1	PSORS1C2	170680
366508	367446	45.26	HSCHR6_MHC_MANN_CTG1	OR2J1	442185
3045038	3052473	49.26	HSCHR6_MHC_MANN_CTG1	MSH5	4439
109101456	109110342	40.94	3	MORC1-AS1	100506506
50481543	50486440	63.62	22	ADM2	79924
127193131	127198185	53.10	3	PRR23E	285311
1322625	1326249	49.13	HSCHR6_MHC_DBB_CTG1	PPP1R11	6992
44167969	44244384	38.72	2	PPM1B	5495
2474838	2481213	51.35	HSCHR6_MHC_MANN_CTG1	POU5F1	5460
68500613	68505873	37.96	3		105377146
4178158	4196655	45.02	HSCHR6_MHC_DBB_CTG1	HLA-DMB	3109
3473193	3483077	50.58	HSCHR6_MHC_MANN_CTG1	AGPAT1	10554
1143453	1158845	45.71	HSCHR6_MHC_COX_CTG1	MOG	4340
50486784	50490648	63.88	22	MIOX	55586
2777992	2794348	47.35	HSCHR6_MHC_DBB_CTG1	DDX39B	7919
50155045	50189075	57.74	3	SEMA3F	6405
1851606	1867403	49.56	HSCHR6_MHC_MANN_CTG1	GNL1	2794
1998300	2001673	55.13	HSCHR6_MHC_MANN_CTG1	NRM	11270
36336	36417	37.80	HSCHR3_8_CTG2_1	MIR4789	100616395
973218	974354	49.78	HSCHR6_MHC_COX_CTG1	MAS1L	116511
41178448	41317731	41.15	20	ZHX3	23051
1480399	1541417	41.65	HSCHR6_MHC_COX_CTG1	POLR1HASP	80862
96832254	96995956	39.59	10	LCOR	84458
1319656	1325658	41.46	HSCHR6_MHC_MANN_CTG1	POLR1H	30834
54222284	54222412	54.26	18	SNORA37	677819
4416346	4421780	52.49	HSCHR6_MHC_COX_CTG1	HLA-DOA	3111
54269517	54321266	36.40	18	POLI	11201
3469589	3473262	55.91	HSCHR6_MHC_MANN_CTG1	EGFL8	80864
4661031	4666486	45.42	HSCHR6_MHC_COX_CTG1	HCG25	414765
3304988	3307511	58.76	HSCHR6_MHC_COX_CTG1	HSPA1B	3304
3010573	3012625	53.77	HSCHR6_MHC_DBB_CTG1	SAPCD1	401251
4076917	4086211	45.64	HSCHR6_MHC_MANN_CTG1	HLA-DQB1	3119
3619320	3622676	56.72	HSCHR6_MHC_COX_CTG1	AGER	177
119987952	119995037	52.68	11	LINC02744	105369528
3057398	3062844	48.71	HSCHR6_MHC_DBB_CTG1	HSPA1L	3305
2423653	2430027	51.36	HSCHR6_MHC_DBB_CTG1	POU5F1	5460
2077067	2102492	46.93	HSCHR6_MHC_MANN_CTG1	HCG20	105375013
2886791	2900476	52.35	HSCHR6_MHC_DBB_CTG1	BAG6	7917
4160657	4166218	43.46	HSCHR6_MHC_MANN_CTG1	HLA-DQA2	3118
4160657	4166218	43.46	HSCHR6_MHC_MANN_CTG1	HLA-DQA2	3117
28931965	28939342	56.52	16	CD19	930
4260070	4264056	50.56	HSCHR6_MHC_MANN_CTG1	PSMB8	5696
108294991	108526796	39.14	6	AFG1L	246269
180335	189548	47.38	HSCHR6_MHC_MANN_CTG1	TRIM27	5987
3567038	3568622	54.57	HSCHR6_MHC_COX_CTG1	FKBPL	63943
124622836	124635926	39.72	11	TBRG1	84897
989265	1011714	45.92	HSCHR6_MHC_MANN_CTG1	HLA-F-AS1	285830
3184194	3195206	52.04	HSCHR6_MHC_COX_CTG1	LY6G6D	110599563
3184194	3195206	52.04	HSCHR6_MHC_COX_CTG1	LY6G6D	58530
2425650	2430956	52.59	HSCHR6_MHC_MANN_CTG1	CDSN	1041
68988803	69043544	43.16	10	KIFBP	26128
4055484	4160989	39.65	HSCHR6_MHC_COX_CTG1	HLA-DQA2	3118
4055484	4160989	39.65	HSCHR6_MHC_COX_CTG1	HLA-DQA2	3117
1473908	1483398	47.12	HSCHR6_MHC_MANN_CTG1	TRIM15	89870
4380869	4393720	51.44	HSCHR6_MHC_COX_CTG1	BRD2	6046
2108896	2140904	47.09	HSCHR6_MHC_MANN_CTG1		401247
1881605	1907409	47.96	HSCHR6_MHC_MANN_CTG1	ABCF1	23
177442519	177681381	38.08	4	AGA-DT	285500
144158162	144170714	35.80	5	YIPF5	81555
123111546	123111643	56.12	9	MIR600	693185
3162875	3168122	52.86	HSCHR6_MHC_MANN_CTG1	NEU1	4758
4725901	4729427	59.46	HSCHR6_MHC_COX_CTG1	ZBTB22	9278
154626945	154753120	37.80	4	LRAT	9227
4476420	4492625	42.77	HSCHR6_MHC_COX_CTG1	HLA-DPA1	3113
4562073	4572783	51.34	HSCHR6_MHC_DBB_CTG1	DAXX	113523636
4562073	4572783	51.34	HSCHR6_MHC_DBB_CTG1	DAXX	1616
2957462	2963256	50.15	HSCHR6_MHC_MANN_CTG1	APOM	55937
36306336	36528637	51.09	20	DLGAP4	22839
937506	946215	48.31	HSCHR6_MHC_MANN_CTG1	ZFP57	346171
3476620	3479992	61.76	HSCHR6_MHC_COX_CTG1	CYP21A2	1589
1331016	1336637	56.23	HSCHR6_MHC_MANN_CTG1	RNF39	80352
4353997	4372491	45.00	HSCHR6_MHC_MANN_CTG1	HLA-DMB	3109
2137270	2156466	56.61	HSCHR6_MHC_DBB_CTG1	DDR1	780
387229	388019	51.83	HSCHR6_MHC_COX_CTG1	HCG14	414760
3377032	3379417	64.33	HSCHR6_MHC_COX_CTG1	ZBTB12	221527
2851919	2863876	48.09	HSCHR6_MHC_MANN_CTG1	NFKBIL1	4795
2132833	2152781	50.02	HSCHR6_MHC_COX_CTG1	DHX16	8449
69035751	69079076	46.21	9	FXN	2395
174283730	174333380	35.65	4	CEP44	80817
169740109	169751587	38.55	6	DYNLT2	6991
50443219	50483923	60.64	22	SBF1	6305
3242848	3254536	54.50	HSCHR6_MHC_COX_CTG1	VWA7	80737
2841445	2841520	44.74	HSCHR6_MHC_MANN_CTG1	SNORD117	692233
2846154	2846231	47.44	HSCHR6_MHC_MANN_CTG1	SNORD84	692199
2928117	2928248	44.70	HSCHR6_MHC_MANN_CTG1	SNORA38	677820
847433	847516	50.00	HSCHR6_MHC_MANN_CTG1	SNORD32B	692092
82892390	83065841	38.49	6	UBE3D	90025
71254814	71301522	45.49	X	NONO	4841
1053436	1060310	45.60	HSCHR6_MHC_MANN_CTG1	HLA-V	352962
1569834	1577184	50.37	HSCHR6_MHC_MANN_CTG1	HLA-L	3139
2106566	2126545	48.87	HSCHR6_MHC_COX_CTG1	ATAT1	79969
4532221	4548504	46.13	HSCHR6_MHC_MANN_CTG1	HLA-DPB2	3116
45306413	45322875	53.01	19	CKM	1158
151233	174422	36.88	HSCHR3_9_CTG3	ANKRD18DP	348840
2363962	2370397	48.40	HSCHR6_MHC_MANN_CTG1	HCG22	285834
3217585	3220067	58.72	HSCHR6_MHC_DBB_CTG1	DXO	1797
69121264	69274615	43.41	9	TJP2	9414
105038069	105099960	36.58	2	MRPS9	64965
90871952	90908553	37.86	10	RPP30	10556
123089241	123194266	40.18	5	PRDM6	93166
3633192	3662414	51.81	HSCHR6_MHC_COX_CTG1	NOTCH4	4855
2963118	2965566	47.98	HSCHR6_MHC_DBB_CTG1	LY6G6D	110599563
2963118	2965566	47.98	HSCHR6_MHC_DBB_CTG1	LY6G6D	58530
366551	367489	45.26	HSCHR6_MHC_DBB_CTG1	OR2J1	442185
2978342	2987529	50.99	HSCHR6_MHC_DBB_CTG1	CLIC1	1192
54357906	54385218	34.78	18	C18orf54	162681
3311855	3317010	48.88	HSCHR6_MHC_COX_CTG1	SNHG32	50854
3814543	3848645	40.68	HSCHR6_MHC_DBB_CTG1	HLA-DRB1	3123
2906069	2908543	56.93	HSCHR6_MHC_DBB_CTG1	C6orf47	57827
2954649	2958359	53.27	HSCHR6_MHC_DBB_CTG1	LY6G6F	259215
4406180	4435998	56.61	HSCHR6_MHC_DBB_CTG1	COL11A2	1302
3479477	3555943	54.36	HSCHR6_MHC_COX_CTG1	TNXB	7148
28958583	28958661	48.10	16	MIR4517	100616487
28974221	28984548	55.79	16	SPNS1	83985
2387930	2393852	51.12	HSCHR6_MHC_COX_CTG1	GTF2H4	2968
26581205	26641366	49.04	2	CIB4	130106
1902868	1908932	52.56	HSCHR6_MHC_DBB_CTG1	C6orf136	221545
115267190	115296693	36.07	5	CCDC112	153733
34428352	34471251	42.17	19	UBA2	10054
1664235	1693198	46.89	HSCHR6_MHC_COX_CTG1	TRIM26	7726
3013364	3025068	54.45	HSCHR6_MHC_DBB_CTG1	VWA7	80737
79792132	79801683	60.55	17	CBX8	57332
1631753	1640740	45.78	HSCHR6_MHC_COX_CTG1	TRIM10	10107
2833859	2836646	55.45	HSCHR6_MHC_DBB_CTG1	LST1	7940
4700787	4709886	54.15	HSCHR6_MHC_COX_CTG1	PFDN6	10471
4711179	4725870	50.02	HSCHR6_MHC_COX_CTG1	TAPBP	6892
3162617	3173549	59.30	20	LZTS3	9762
3356630	3369617	51.46	HSCHR6_MHC_DBB_CTG1	ATF6B	1388
183505058	183512429	44.45	4	ING2	3622
65893816	65925297	40.66	3	MAGI1-AS1	100873983
3429514	3436519	49.59	HSCHR6_MHC_COX_CTG1	NELFE	7936
109178143	109216965	39.49	3	LINC00488	677779
3900709	3901559	49.82	HSCHR6_MHC_DBB_CTG1	HLA-DQB1-AS1	106480429
170575295	170584692	41.64	6	PDCD2	5134
30146941	30160533	41.90	2	YPEL5	51646
3900296	3910237	46.00	HSCHR6_MHC_DBB_CTG1	HLA-DQB1	3119
119314293	119322760	41.43	3	ARHGAP31-AS1	100874246
161383897	162164004	33.82	4	FSTL5	56884
1073935	1075518	49.94	HSCHR6_MHC_COX_CTG1	OR2H2	7932
2593598	2594934	57.52	HSCHR6_MHC_COX_CTG1	C6orf15	29113
1180561	1185415	55.74	20	TMEM74B	55321
4084287	4088273	50.46	HSCHR6_MHC_DBB_CTG1	PSMB8	5696
903731	904677	45.93	HSCHR6_MHC_COX_CTG1	OR12D1	26530
48997385	49056145	47.29	17	IGF2BP1	10642
3006050	3007565	57.52	HSCHR6_MHC_COX_CTG1	MCCD1	401250
3240056	3242109	53.75	HSCHR6_MHC_COX_CTG1	SAPCD1	401251
4557933	4561457	59.43	HSCHR6_MHC_DBB_CTG1	ZBTB22	9278
2873420	3039076	42.52	20	PTPRA	5786
3110970	3126820	53.64	HSCHR6_MHC_DBB_CTG1	SLC44A4	80736
3138519	3143574	53.92	HSCHR6_MHC_COX_CTG1	GPANK1	7918
133400056	133475222	45.60	3	BFSP2	8419
3129706	3135499	50.17	HSCHR6_MHC_COX_CTG1	APOM	55937
3631601	3634777	37.55	HSCHR6_MHC_DBB_CTG1	TSBP1-AS1	414764
2240021	2246201	50.07	HSCHR6_MHC_DBB_CTG1	MUC21	394263
4703139	4710809	57.14	HSCHR6_MHC_COX_CTG1	RGL2	5863
2197308	2210527	47.59	HSCHR6_MHC_DBB_CTG1	MUCL3	135656
4319457	4330724	48.11	HSCHR6_MHC_DBB_CTG1	HLA-DPB1	3115
121452314	121633763	43.54	11	SORL1	6653
54324358	54357964	37.92	18	STARD6	147323
4087706	4123110	42.83	HSCHR6_MHC_DBB_CTG1	PSMB9	5698
1969202	1973940	55.45	HSCHR6_MHC_COX_CTG1	HLA-E	3133
33785	56132	35.90	HSCHR4_11_CTG12	FRG1	2483
1314821	1320825	41.50	HSCHR6_MHC_DBB_CTG1	POLR1H	30834
4683491	4687991	46.95	HSCHR6_MHC_COX_CTG1	RPS18	6222
2836632	2840722	51.87	HSCHR6_MHC_DBB_CTG1	NCR3	259197
1206635	1222378	45.02	HSCHR6_MHC_COX_CTG1	HLA-F	3134
28797	29726	48.60	HSCHR7_3_CTG4_4	OR2A25	392138
49674	50603	48.71	HSCHR7_3_CTG4_4	OR2A12	346525
64143	65096	50.42	HSCHR7_3_CTG4_4	OR2A2	442361
116955	119843	44.31	HSCHR4_11_CTG12	FRG2	448831
3680147	3685357	42.85	HSCHR6_MHC_DBB_CTG1	HLA-DRA	3122
83671	84597	52.86	HSCHR7_3_CTG4_4	OR2A14	135941
12446512	12658107	40.65	18	SPIRE1	56907
109237120	109326369	42.43	5		285638
138069	140399	41.91	HSCHR7_3_CTG4_4	CTAGE4	100128553
141497	142948	53.99	HSCHR7_3_CTG4_4	ARHGEF35	445328
2526549	2529920	59.07	HSCHR6_MHC_DBB_CTG1	HLA-C	3107
186517	187437	56.24	HSCHR7_3_CTG4_4	OR2A42	402317
213293	214222	50.11	HSCHR7_3_CTG4_4	OR2A7	401427
138347648	138405534	48.52	3	MRAS	22808
102371774	102499016	35.83	5	SLCO6A1	133482
221514	223844	41.91	HSCHR7_3_CTG4_4	CTAGE8	100142659
20779973	21293011	39.95	10	NEBL	10529
2360744	2379927	56.63	HSCHR6_MHC_COX_CTG1	DDR1	780
272736	273656	56.24	HSCHR7_3_CTG4_4	OR2A1	346528
4493046	4498501	45.42	HSCHR6_MHC_DBB_CTG1	HCG25	414765
2900187	2905981	50.16	HSCHR6_MHC_DBB_CTG1	APOM	55937
3182228	3189502	47.35	HSCHR6_MHC_DBB_CTG1	C4B-AS1	102060414
404891	430104	47.93	HSCHR7_3_CTG4_4	ARHGEF5	7984
989677	1012119	45.92	HSCHR6_MHC_DBB_CTG1	HLA-F-AS1	285830
139911238	139916620	49.28	8		105375781
127960633	127960695	52.38	8	MIR1205	100302161
4532820	4541919	54.16	HSCHR6_MHC_DBB_CTG1	PFDN6	10471
446710	459685	50.31	HSCHR7_3_CTG4_4	NOBOX	135935
128008898	128008956	42.37	8	MIR1206	100302170
128049152	128049238	62.07	8	MIR1207	100302175
127946559	127948723	45.96	8	LINC02912	641384
51177425	51260163	39.50	17	MBTD1	54799
3522	13419	39.30	HSCHR7_3_CTG4_4	OR2A5	393046
847798	847881	50.00	HSCHR6_MHC_DBB_CTG1	SNORD32B	692092
2784146	2784221	44.74	HSCHR6_MHC_DBB_CTG1	SNORD117	692233
2788871	2788948	47.44	HSCHR6_MHC_DBB_CTG1	SNORD84	692199
52370602	52390056	35.82	2	LINC01867	105374596
2870846	2870977	43.94	HSCHR6_MHC_DBB_CTG1	SNORA38	677820
4661769	4683528	45.61	HSCHR6_MHC_COX_CTG1	VPS52	6293
3083042	3083104	57.14	HSCHR6_MHC_DBB_CTG1	SNORD48	26801
3084854	3084920	43.28	HSCHR6_MHC_DBB_CTG1	SNORD52	26797
34998273	35000160	35.54	2		105374461
639071	715620	37.42	HSCHR6_MHC_DBB_CTG1	OR12D3	81797
662064	663132	45.74	HSCHR6_MHC_DBB_CTG1	OR12D2	26529
688137	697489	37.28	HSCHR6_MHC_DBB_CTG1	OR5V1	81696
691032	722594	39.08	HSCHR6_MHC_DBB_CTG1	OR11A1	26531
704828	706499	50.00	HSCHR6_MHC_DBB_CTG1	OR10C1	442194
393697	414688	44.71	HSCHR6_MHC_COX_CTG1	TRIM27	5987
722704	729851	41.35	HSCHR6_MHC_DBB_CTG1	OR2H1	26716
104488458	104510509	38.27	2	LINC01103	101927360
78088729	78127806	36.66	2		101927948
793280	794245	45.45	HSCHR6_MHC_COX_CTG1	OR14J1	442191
752289	753425	49.78	HSCHR6_MHC_DBB_CTG1	MAS1L	116511
4169671	4177108	47.38	HSCHR6_MHC_COX_CTG1	HLA-DQB2	3120
763032	776079	47.68	HSCHR6_MHC_DBB_CTG1	LINC02829	105375009
1515466	1522820	50.35	HSCHR6_MHC_DBB_CTG1	HLA-L	3139
3436507	3447178	54.17	HSCHR6_MHC_COX_CTG1	SKIC2	6499
75120409	75352327	35.85	8	CASC9	101805492
1053845	1060626	45.69	HSCHR6_MHC_DBB_CTG1	HLA-V	352962
147732063	148072776	40.94	4	ARHGAP10	79658
133191039	133231690	48.12	8	CCN4	8840
24136163	24138967	57.43	14	PSME1	5720
102619553	102711355	40.53	2	SLC9A2	6549
680444	684435	36.85	HSCHR6_MHC_DBB_CTG1	OR12D1	26530
2313701	2316162	49.96	HSCHR6_MHC_DBB_CTG1	HCG22	285834
2312821	2319262	48.40	HSCHR6_MHC_DBB_CTG1	HCG22	285834
659846	661117	41.90	HSCHR6_MHC_COX_CTG1	OR2J2	26707
3448602	3458873	52.80	HSCHR6_MHC_COX_CTG1	STK19	8859
4611950	4615944	52.92	HSCHR6_MHC_COX_CTG1	SLC39A7	7922
3423077	3429511	52.65	HSCHR6_MHC_COX_CTG1	CFB	629
82519713	82644662	49.72	17	FOXK2	3607
126905409	127452517	45.16	10	DOCK1	1793
58633946	58666834	51.08	3	FAM3D	131177
3092473	3094310	53.97	HSCHR6_MHC_COX_CTG1	AIF1	199
142872356	142879846	58.36	8	CYP11B1	1584
4360810	4382925	44.81	HSCHR6_MHC_COX_CTG1	HLA-DMA	3108
168225279	168226517	46.17	6		105378137
170160606	170163142	58.26	6		102724511
57172326	57189833	38.77	6	BAG2	9532
3340610	3356471	53.64	HSCHR6_MHC_COX_CTG1	SLC44A4	80736
141639302	141651418	52.82	5	FCHSD1	89848
943634	950780	41.39	HSCHR6_MHC_COX_CTG1	OR2H1	26716
101002229	101024032	42.39	2	RPL31	6160
3135587	3138059	56.93	HSCHR6_MHC_COX_CTG1	C6orf47	57827
3146409	3150837	52.61	HSCHR6_MHC_COX_CTG1	LY6G5B	58496
1582690	1592905	47.05	HSCHR6_MHC_COX_CTG1	TRIM31	11074
137492199	137494394	54.64	6	OLIG3	167826
3375210	3423101	49.88	HSCHR6_MHC_COX_CTG1	C2	717
41088451	41096195	53.14	19	CYP2A13	1553
324905	449328	35.75	HSCHR7_4_CTG1	LINC01445	102723605
57186992	57222307	37.65	6	RAB23	51715
4619998	4624223	52.98	HSCHR6_MHC_COX_CTG1	RING1	6015
3024196	3036142	48.08	HSCHR6_MHC_COX_CTG1	NFKBIL1	4795
4688613	4690306	64.29	HSCHR6_MHC_COX_CTG1	B3GALT4	8705
2597465	2602822	52.48	HSCHR6_MHC_COX_CTG1	CDSN	1041
141738249	141747560	39.14	3	RNF7	9616
3098008	3115058	53.46	HSCHR6_MHC_COX_CTG1	PRRC2A	7916
1226044	1296421	41.90	20	RAD21L1	642636
47968046	47992170	41.41	19	BSPH1	100131137
925755	927426	50.06	HSCHR6_MHC_COX_CTG1	OR10C1	442194
4730043	4740754	51.33	HSCHR6_MHC_COX_CTG1	DAXX	113523636
4730043	4740754	51.33	HSCHR6_MHC_COX_CTG1	DAXX	1616
37007857	37130368	41.83	19	ZNF420	147923
587489	588427	45.26	HSCHR6_MHC_COX_CTG1	OR2J1	442185
3828610	3831778	37.65	HSCHR6_MHC_COX_CTG1	TSBP1-AS1	414764
2199940	2205165	53.04	HSCHR6_MHC_COX_CTG1	TUBB	203068
4690589	4701012	51.90	HSCHR6_MHC_COX_CTG1	WDR46	9277
149658153	149718105	41.14	6	LATS1	9113
1585033	1594523	46.05	HSCHR6_MHC_COX_CTG1	TRIM31-AS1	104533120
69244311	69327244	34.61	17	ABCA5	23461
2156133	2167639	56.09	HSCHR6_MHC_COX_CTG1	PPP1R18	170954
125528858	125595497	39.36	3	OSBPL11	114885
33473386	33513185	43.01	8	TTI2	80185
4616147	4618332	56.59	HSCHR6_MHC_COX_CTG1	HSD17B8	7923
3459451	3473740	58.96	HSCHR6_MHC_COX_CTG1	C4B	721
56507850	56530221	40.18	19	ZNF471	57573
2921972	2927272	43.01	HSCHR6_MHC_COX_CTG1	LINC01149	101929111
2319260	2327898	48.28	HSCHR6_MHC_COX_CTG1	LINC02570	105375014
3164239	3180705	50.36	HSCHR6_MHC_COX_CTG1	ABHD16A	7920
36355	41373	41.26	HSCHR4_2_CTG8_1	RPS3A	6189
3616712	3619145	51.48	HSCHR6_MHC_COX_CTG1	RNF5	6048
4252915	4256902	50.58	HSCHR6_MHC_COX_CTG1	PSMB8	5696
64078361	64087363	42.86	3	LINC00994	100287879
123023250	123036725	44.38	5	PPIC	5480
3877968	3883135	43.00	HSCHR6_MHC_COX_CTG1	HLA-DRA	3122
123067025	123225227	45.22	3	PDIA5	10954
38788	38859	27.78	HSCHR4_2_CTG8_1	SNORD73B	114655
39482	262336	40.78	HSCHR4_2_CTG8_1	SH3D19	152503
4574189	4604006	56.58	HSCHR6_MHC_COX_CTG1	COL11A2	1302
59123381	59259113	45.12	20	ZNF831	128611
97756333	97995948	39.30	2	TMEM131	23505
54053584	54112519	42.31	1	TCEANC2	127428
117957	123145	39.04	HSCHR8_1_CTG6	LINC00588	26138
99640	105027	37.25	HSCHR8_1_CTG6		286177
41114432	41128381	51.52	19	CYP2F1	1572
65714334	65842322	37.81	8	PDE7A	5150
165684639	165762778	37.25	4	LINC01179	101928151
33490075	33650036	42.36	20	CBFA2T2	9139
40512333	40755963	38.63	5	TTC33	23548
40558	40622	35.38	HSCHR4_2_CTG8_1	SNORD73A	8944
184088706	184221230	44.68	4	ENPP6	133121
3063411	3066192	55.57	HSCHR6_MHC_COX_CTG1	LST1	7940
213892	228593	39.75	HSCHR4_2_CTG8_1	PRSS48	345062
153004459	153131282	37.44	6	RGS17	26575
29455105	29464963	56.18	16	SLX1B-SULT1A4	100526831
52032103	52033810	55.33	1	KTI12	112970
24138959	24141591	53.51	14	EMC9	51016
73305609	73355253	33.64	1	LINC01360	101927295
3019634	3020468	55.45	HSCHR6_MHC_COX_CTG1	DDX39B-AS1	106478957
2410947	2411769	56.50	HSCHR6_MHC_COX_CTG1	SFTA2	389376
3832055	3845208	42.10	HSCHR6_MHC_COX_CTG1	BTNL2	56244
3021792	3024174	49.18	HSCHR6_MHC_COX_CTG1	ATP6V1G2	534
153417	158192	44.37	HSCHR8_3_CTG1	DEFB104B	503618
153417	158192	44.37	HSCHR8_3_CTG1	DEFB104B	140596
181040225	181061521	49.92	5	BTNL9	153579
170774	172696	38.38	HSCHR8_3_CTG1	DEFB105B	504180
170774	172696	38.38	HSCHR8_3_CTG1	DEFB105B	245908
168292830	168319777	51.15	6	DACT2	168002
222731	225553	48.85	HSCHR8_3_CTG1	PRR23D1	100133251
222731	225553	48.85	HSCHR8_3_CTG1	PRR23D1	100131608
